local_datetime,update,episode_reward
2026-01-29 14:22:05.259,22,-331.2839950895161
2026-01-29 14:22:07.592,22,-2.2210631339019926
2026-01-29 14:22:09.750,22,-275.5402109693922
2026-01-29 14:22:11.991,22,-129.21856986574556
2026-01-29 14:22:14.046,22,-237.34183709650011
2026-01-29 14:22:15.985,22,-291.37633917701436
2026-01-29 14:22:17.945,23,-63.81646060598013
2026-01-29 14:22:19.555,23,-87.4376368756252
2026-01-29 14:22:22.613,23,-41.167342116024344
2026-01-29 14:22:25.014,23,-173.27295296481816
2026-01-29 14:22:27.124,23,-102.70229337600954
2026-01-29 14:22:29.472,23,-142.08377786835337
2026-01-29 14:22:31.123,23,-63.99572826202156
2026-01-29 14:22:32.748,23,-106.77112950858664
2026-01-29 14:22:35.279,23,-178.69322240646392
2026-01-29 14:22:37.063,23,-59.42802069049756
2026-01-29 14:22:40.664,24,-303.5633577462193
2026-01-29 14:22:42.604,24,-185.3392142600316
2026-01-29 14:22:45.080,24,-155.59113070887378
2026-01-29 14:22:47.313,24,-331.1281416546853
2026-01-29 14:22:49.465,24,-91.41228099397703
2026-01-29 14:22:51.525,24,-310.1611774320027
2026-01-29 14:22:53.660,24,-341.7817191394793
2026-01-29 14:22:56.709,24,-120.51698284075339
2026-01-29 14:23:00.145,25,-333.85469638472506
2026-01-29 14:23:03.081,25,-335.0124929172235
2026-01-29 14:23:05.421,25,-195.56172289786866
2026-01-29 14:23:06.879,25,-191.21845639046617
2026-01-29 14:23:09.109,25,-251.25137790709644
2026-01-29 14:23:11.823,25,15.489740612807608
2026-01-29 14:23:13.140,25,-76.43820426542453
2026-01-29 14:23:15.603,25,-364.82783937278145
2026-01-29 14:23:17.516,25,-171.56843734073715
2026-01-29 14:23:19.877,25,-262.56223575641684
2026-01-29 14:23:22.217,26,-142.30389401410133
2026-01-29 14:23:23.589,26,-129.19805349235645
2026-01-29 14:23:26.101,26,-123.14043426449378
2026-01-29 14:23:28.057,26,-141.40117141887913
2026-01-29 14:23:29.595,26,-40.91105616635671
2026-01-29 14:23:31.291,26,-142.4237671936413
2026-01-29 14:23:33.528,26,-314.5665572146699
